year,province,technology,generation
2020,New Brunswick,Nuclear,4795083.0
2020,New Brunswick,Solar,0.0
2020,New Brunswick,Wind,895860.0
2020,Newfoundland and Labrador,Biomass,36237.0
2020,Newfoundland and Labrador,Combustible fuels,1506111.0
2020,Newfoundland and Labrador,Hydro,38324062.0
2020,Newfoundland and Labrador,Non-renewable combustibles,1469874.0
2020,Newfoundland and Labrador,Solar,0.0
2020,Newfoundland and Labrador,Wind,178456.0
2020,Nova Scotia,Biomass,256498.0
2020,Nova Scotia,Combustible fuels,7426287.0
2020,Nova Scotia,Hydro,754117.0
2020,Nova Scotia,Non-renewable combustibles,7169789.0
2020,Nova Scotia,Solar,0.0
2020,Nova Scotia,Wind,910387.0
2020,Ontario,Biomass,1214969.0
2020,Ontario,Combustible fuels,13191727.0
2020,Ontario,Hydro,39022698.0
2020,Ontario,Non-renewable combustibles,11976758.0
2020,Ontario,Nuclear,87856772.0
2020,Ontario,Solar,2538661.0
2020,Ontario,Wind,12698295.0
2020,Prince Edward Island,Biomass,4102.0
2020,Prince Edward Island,Combustible fuels,5486.0
2020,Prince Edward Island,Hydro,0.0
2020,Prince Edward Island,Non-renewable combustibles,1384.0
2020,Prince Edward Island,Solar,573.0
2020,Prince Edward Island,Wind,644132.0
2020,Quebec,Biomass,1186231.0
2020,Quebec,Combustible fuels,2025703.0
2020,Quebec,Hydro,194150539.0
2020,Quebec,Non-renewable combustibles,839472.0
2020,Quebec,Nuclear,
2020,Quebec,Solar,1427.0
2020,Quebec,Wind,10836985.0
2020,Saskatchewan,Biomass,12151.0
2020,Saskatchewan,Combustible fuels,19186158.0
2020,Saskatchewan,Hydro,4423240.0
2020,Saskatchewan,Non-renewable combustibles,19174007.0
2020,Saskatchewan,Solar,27.0
2020,Saskatchewan,Wind,819816.0
2021,Alberta,Biomass,1883878.0
2021,Alberta,Combustible fuels,65538584.0
2021,Alberta,Hydro,2132084.0
2021,Alberta,Non-renewable combustibles,63654706.0
2021,Alberta,Solar,254061.0
2021,Alberta,Wind,6779751.0
2021,British Columbia,Biomass,4066046.0
2021,British Columbia,Combustible fuels,6180736.0
2021,British Columbia,Hydro,63801584.0
2021,British Columbia,Non-renewable combustibles,2114690.0
2021,British Columbia,Solar,4316.0
2021,British Columbia,Wind,1998525.0
2021,Manitoba,Biomass,80671.0
2021,Manitoba,Combustible fuels,107882.0
2021,Manitoba,Hydro,27938212.0
2021,Manitoba,Non-renewable combustibles,27211.0
2021,Manitoba,Solar,2010.0
2021,Manitoba,Wind,959981.0
2021,New Brunswick,Biomass,592673.0
2021,New Brunswick,Combustible fuels,4601923.0
2021,New Brunswick,Hydro,2622258.0
2021,New Brunswick,Non-renewable combustibles,4009250.0
2021,New Brunswick,Nuclear,4418515.0
2021,New Brunswick,Solar,0.0
2021,New Brunswick,Wind,708624.0
2021,Newfoundland and Labrador,Biomass,33398.0
2021,Newfoundland and Labrador,Combustible fuels,1374830.0
2021,Newfoundland and Labrador,Hydro,39972406.0
2021,Newfoundland and Labrador,Non-renewable combustibles,1341432.0
2021,Newfoundland and Labrador,Solar,0.0
2021,Newfoundland and Labrador,Wind,157493.0
2021,Nova Scotia,Biomass,333619.0
2021,Nova Scotia,Combustible fuels,7229401.0
2021,Nova Scotia,Hydro,779657.0
2021,Nova Scotia,Non-renewable combustibles,6895782.0
2021,Nova Scotia,Solar,0.0
2021,Nova Scotia,Wind,1105724.0
2021,Ontario,Biomass,1264701.0
2021,Ontario,Combustible fuels,15605363.0
2021,Ontario,Hydro,35481408.0
2021,Ontario,Non-renewable combustibles,14340662.0
2021,Ontario,Nuclear,82957735.0
2021,Ontario,Solar,2470553.0
2021,Ontario,Wind,12633814.0
2021,Prince Edward Island,Biomass,3579.0
2021,Prince Edward Island,Combustible fuels,6534.0
2021,Prince Edward Island,Hydro,0.0
2021,Prince Edward Island,Non-renewable combustibles,2955.0
2021,Prince Edward Island,Solar,553.0
2021,Prince Edward Island,Wind,596542.0
2021,Quebec,Biomass,1199687.0
2021,Quebec,Combustible fuels,2068854.0
2021,Quebec,Hydro,200516192.0
2021,Quebec,Non-renewable combustibles,869167.0
2021,Quebec,Nuclear,
2021,Quebec,Solar,4044.0
2021,Quebec,Wind,10356615.0
2021,Saskatchewan,Biomass,11719.0
2021,Saskatchewan,Combustible fuels,20824292.0
2021,Saskatchewan,Hydro,2982414.0
2021,Saskatchewan,Non-renewable combustibles,20812573.0
2021,Saskatchewan,Solar,4271.0
2021,Saskatchewan,Wind,866384.0
