ref_date,province,Biomass,Combustible fuels,Hydro,Non-renewable combustibles,Nuclear,Solar,Wind
2017-02-01,British Columbia,0.0,590054.0,5599015.0,0.0,,0.0,153562.0
2017-02-01,Manitoba,0.0,14177.0,3022685.0,0.0,,0.0,81632.0
2017-02-01,New Brunswick,0.0,612031.0,178136.0,0.0,462843.0,0.0,70853.0
2017-02-01,Newfoundland and Labrador,0.0,248949.0,4020204.0,0.0,,0.0,14090.0
2017-02-01,Nova Scotia,0.0,752049.0,91456.0,0.0,,0.0,118316.0
2017-02-01,Ontario,0.0,740352.0,3121167.0,0.0,6810519.0,93855.0,1280626.0
2017-02-01,Prince Edward Island,0.0,2198.0,0.0,0.0,,0.0,55597.0
2017-02-01,Quebec,0.0,222021.0,18533739.0,0.0,0.0,87.0,769962.0
2017-02-01,Saskatchewan,0.0,1670861.0,311877.0,0.0,,0.0,58215.0
2017-03-01,Alberta,0.0,6453281.0,136453.0,0.0,,109.0,426071.0
2017-03-01,British Columbia,0.0,553100.0,5497624.0,0.0,,0.0,168606.0
2017-03-01,Manitoba,0.0,13691.0,3340836.0,0.0,,0.0,95780.0
2017-03-01,New Brunswick,0.0,599375.0,159860.0,0.0,445094.0,0.0,79024.0
2017-03-01,Newfoundland and Labrador,0.0,266146.0,4497270.0,0.0,,0.0,19252.0
2017-03-01,Nova Scotia,0.0,769588.0,117440.0,0.0,,0.0,139480.0
2017-03-01,Ontario,0.0,887298.0,3515489.0,0.0,7351914.0,180450.0,1260700.0
2017-03-01,Prince Edward Island,0.0,1075.0,0.0,0.0,,0.0,62779.0
2017-03-01,Quebec,0.0,234837.0,20074102.0,0.0,0.0,116.0,648123.0
2017-03-01,Saskatchewan,0.0,1786404.0,362096.0,0.0,,0.0,68686.0
2017-04-01,Alberta,0.0,5606919.0,176015.0,0.0,,106.0,372829.0
2017-04-01,British Columbia,0.0,507958.0,4740312.0,0.0,,0.0,129500.0
2017-04-01,Manitoba,0.0,12175.0,3056482.0,0.0,,0.0,56393.0
2017-04-01,New Brunswick,0.0,394633.0,440411.0,0.0,104457.0,0.0,52096.0
2017-04-01,Newfoundland and Labrador,0.0,187920.0,2424743.0,0.0,,0.0,16073.0
2017-04-01,Nova Scotia,0.0,648591.0,97915.0,0.0,,0.0,101636.0
2017-04-01,Ontario,0.0,676291.0,3420127.0,0.0,6868248.0,192448.0,942638.0
2017-04-01,Prince Edward Island,0.0,696.0,0.0,0.0,,0.0,39589.0
2017-04-01,Quebec,0.0,219324.0,16353124.0,0.0,0.0,135.0,774634.0
2017-04-01,Saskatchewan,0.0,1433553.0,430415.0,0.0,,0.0,57888.0
2017-05-01,Alberta,0.0,5673695.0,204890.0,0.0,,153.0,361071.0
2017-05-01,British Columbia,0.0,495137.0,4769272.0,0.0,,0.0,118332.0
2017-05-01,Manitoba,0.0,10987.0,2654599.0,0.0,,0.0,60665.0
2017-05-01,New Brunswick,0.0,251772.0,448423.0,0.0,381727.0,0.0,68780.0
2017-05-01,Newfoundland and Labrador,0.0,176670.0,1902019.0,0.0,,0.0,15392.0
2017-05-01,Nova Scotia,0.0,534998.0,133048.0,0.0,,0.0,101390.0
2017-05-01,Ontario,0.0,704373.0,3647435.0,0.0,7043384.0,209758.0,700340.0
2017-05-01,Prince Edward Island,0.0,620.0,0.0,0.0,,0.0,49749.0
2017-05-01,Quebec,0.0,202532.0,15001678.0,0.0,0.0,154.0,872934.0
2017-05-01,Saskatchewan,0.0,1277171.0,518220.0,0.0,,0.0,58215.0
